Feature,Importance
cat__Paved Drive_P,4.5069409785128436e-05
num__Low Qual Fin SF,4.303249497969174e-05
cat__Bldg Type_TwnhsE,4.221740878984209e-05
cat__Garage Qual_TA,4.213526889797929e-05
cat__Fence_GdWo,4.077731833972178e-05
cat__Functional_Maj1,4.027069857822253e-05
cat__Neighborhood_Mitchel,3.893321035007975e-05
cat__Exterior 1st_AsbShng,3.692462025532859e-05
cat__Condition 1_RRAe,3.418274392078741e-05
cat__Heating_GasW,3.383005866978286e-05
cat__Fireplace Qu_Fa,3.3374343383056665e-05
cat__Functional_Maj2,3.313939658175667e-05
cat__BsmtFin Type 2_BLQ,3.197089731149848e-05
cat__Bldg Type_Twnhs,3.0225248110706875e-05
cat__Exterior 2nd_Stucco,2.968200482923338e-05
cat__Garage Qual_Fa,2.807532020194816e-05
cat__Neighborhood_IDOTRR,2.718129158179781e-05
cat__Sale Type_Oth,2.6813396114486642e-05
cat__Exterior 1st_Stucco,2.4136157293584395e-05
cat__Lot Config_FR3,2.2972790823239877e-05
cat__Exterior 1st_WdShing,2.27464978236989e-05
cat__Sale Type_ConLI,2.214334222705941e-05
cat__Exter Qual_Fa,2.1267876450962233e-05
cat__Foundation_Slab,2.0594648571393517e-05
cat__Condition 2_PosA,1.830333616972259e-05
cat__Sale Condition_Alloca,1.8178336063965682e-05
cat__Bldg Type_2fmCon,1.8157020701217046e-05
cat__BsmtFin Type 2_LwQ,1.714014908694258e-05
cat__Sale Type_Con,1.6854188561226164e-05
cat__Exterior 2nd_AsbShng,1.6760862588060854e-05
cat__Exterior 2nd_ImStucc,1.5579161956584145e-05
cat__Roof Matl_ClyTile,1.5391587515019045e-05
cat__MS Zoning_RH,1.4681032185227903e-05
cat__Condition 1_RRAn,1.4215723350814468e-05
cat__Garage Type_Basment,1.4057186871805183e-05
cat__Neighborhood_SWISU,1.3851736422481618e-05
cat__Garage Type_CarPort,1.3726993327893098e-05
cat__Electrical_FuseF,1.3084076019602223e-05
cat__Roof Style_Gambrel,1.239403614067627e-05
cat__Condition 1_PosN,1.127758904216221e-05
cat__Sale Type_ConLD,1.1029838583293132e-05
cat__Mas Vnr Type_BrkCmn,1.0440345774060051e-05
cat__Exterior 1st_BrkComm,9.966175841910044e-06
cat__BsmtFin Type 2_GLQ,9.915132612330269e-06
cat__Roof Matl_WdShngl,9.719678413831408e-06
cat__Street_Grvl,9.669334920512658e-06
cat__Garage Cond_Gd,9.444621090242684e-06
cat__House Style_2.5Fin,9.141559531487315e-06
cat__Functional_Sev,8.672407294276098e-06
cat__Condition 1_RRNn,8.536529304275264e-06
cat__Condition 2_Norm,8.238818548111643e-06
cat__Exterior 2nd_AsphShn,8.188196786559421e-06
cat__Misc Feature_Othr,8.15524118034347e-06
cat__House Style_SFoyer,8.12239525420953e-06
cat__Heating_Grav,8.02641448702811e-06
cat__Misc Feature_Shed,7.961736494363543e-06
cat__Condition 2_Artery,7.677326144683844e-06
cat__Roof Matl_WdShake,7.586662157768399e-06
cat__Street_Pave,7.473404527680687e-06
cat__Exter Cond_Ex,7.405577519528695e-06
cat__Neighborhood_BrDale,7.169261807145785e-06
cat__Sale Type_ConLw,6.509864557188889e-06
cat__Misc Feature_Elev,6.212300533614312e-06
cat__Exterior 1st_CBlock,6.108225015467874e-06
cat__Garage Qual_Po,5.667950073290894e-06
cat__Neighborhood_Blueste,5.563771479959269e-06
cat__Garage Cond_Po,5.56043210904903e-06
cat__Neighborhood_NPkVill,4.809377777687024e-06
cat__Bsmt Cond_Po,4.802327329122215e-06
cat__Electrical_FuseP,4.394426082903131e-06
cat__Exterior 2nd_Stone,4.325058397816457e-06
cat__Exterior 2nd_Brk Cmn,4.196360371284491e-06
cat__Mas Vnr Type_CBlock,4.171794475608354e-06
cat__Neighborhood_Blmngtn,4.0484543312128356e-06
cat__Roof Matl_Metal,3.963767697172621e-06
cat__Garage Qual_Ex,3.962012485971074e-06
cat__Electrical_Mix,3.9285953641329e-06
cat__Roof Style_Shed,3.836285942065683e-06
cat__Heating_OthW,3.5942681803466527e-06
cat__Garage Type_2Types,3.2117609484863482e-06
cat__MS Zoning_A (agr),2.6181184932842706e-06
cat__Exter Cond_Po,2.1026589091727995e-06
cat__Sale Condition_AdjLand,1.9434514992851854e-06
cat__Utilities_AllPub,1.9264511774511072e-06
cat__Neighborhood_MeadowV,1.6751662297422821e-06
cat__Sale Type_CWD,1.6595222871556959e-06
cat__Heating_Wall,1.525987320161747e-06
cat__Condition 1_RRNe,1.4543073934269773e-06
cat__House Style_1.5Unf,1.1408347658670565e-06
cat__Exterior 2nd_CBlock,1.0403107889955858e-06
cat__Exterior 1st_AsphShn,9.838591624791967e-07
cat__Exterior 1st_ImStucc,9.186542153632363e-07
cat__Fence_MnWw,7.593594363619935e-07
cat__Foundation_Stone,7.532669767391201e-07
cat__Condition 2_PosN,7.440379843123651e-07
cat__Bsmt Cond_Ex,7.194943036135792e-07
cat__Neighborhood_Landmrk,5.039779021419487e-07
cat__Pool QC_TA,4.260195562014489e-07
cat__Condition 2_Feedr,4.2131299830384446e-07
cat__Utilities_NoSewr,4.0131823133124e-07
cat__Neighborhood_Greens,3.9731904695854573e-07
cat__Roof Matl_Roll,3.7036053472497457e-07
cat__Misc Feature_Gar2,3.4781514916073216e-07
cat__Heating QC_Po,2.9479358317845887e-07
cat__Roof Matl_Membran,2.8130671656605525e-07
cat__Condition 2_RRAe,1.74454511127871e-07
cat__Heating_Floor,1.4627640532851442e-07
cat__Condition 2_RRAn,1.3688620592477302e-07
cat__Pool QC_Fa,1.0922758198652211e-07
cat__Condition 2_RRNn,1.0327429150087456e-07
cat__Sale Type_VWD,9.513194476419063e-08
cat__Foundation_Wood,6.020894698361219e-08
cat__Garage Cond_Ex,2.510143302538129e-08
cat__Utilities_NoSeWa,1.8297158107305637e-08
cat__Bsmt Qual_Po,1.175449923888698e-08
cat__Exterior 1st_Stone,3.5489363590793863e-09
cat__Functional_Sal,0.0
cat__MS Zoning_I (all),0.0
